Excluir,impressaoEtiqueta,D001_Id,D009_Id,D049_Id,D024_Id,foto,D001_Codigo_Barras,D001_Flag_Ativo,D001_Flag_Pre_Cadastro,D049_Flag_Curva_ABC,D049_Flag_Curva_ABC_Qtd,D001_Codigo_Barra1,D049_Modelo,D001_Aplicacao,"ifnull(D069_D070_Id,""_"")",validades,D049_Codigo_Produto,C008_Tipo,D060_Descricao_Grupo,D003_Nome_Linha,D002_Descricao_Produto,D082_Marca,D049_Origem_Mercadoria,NCM,D001_D005_Id,D037_Unidade,D009_Quantidade_Estoque,Pedido,D009_Quantidade_Estoque_Loja,D009_Quantidade_Estoque_Fora,D009_Quantidade_OP,D009_Valor_Custo_Unitario,ST,D049_Flag_Tipo,D004_Local,D024_Nome_Empresa,C004_Nome_Empresa,D001_Flag_Tipo,D009_IPV_1,C007_Primeiro_Nome,D009_C007_Id_Comprador,D009_Data_Alteracao_Custo,D009_Flag_Custo_Utilizado,D001_C008_Id,D001_D060_Id,D001_D003_Id,D001_D002_Id,D049_D024_Id,D001_C004_Id,D009_Origem_Mercadoria,D001_Flag_Ecommerce,D001_Flag_Etiqueta_Pedido,D001_Qte_Embalagem,D049_Flag_Nao_Comprar,D009A_Id,D009A_Ficha_Conteudo_Importacao,D001A_Id,linkImagem,D001_Cubagem_Unitaria,Etiqueta,D001_Codigo_Produto,D001_Descricao_Produto,D049_D082_Id,D001_D037_Id,D009_Quantidade_Estoque_Similar,D009_Quantidade_OC,infoCustoVendaProduto,D009_Data_Ultima_Entrada,D009_Data_Ultima_Venda,D001_Flag_Tipo_Item,D009A_Qtd_Liquida_Fora	+ D009_Quantidade_Estoque_Liquido,(D009_Quantidade_Estoque) + (D009A_Qtd_Fisica_Fora),D001A_Quantidade_Estoque_Tray,D001_Peso_Unitario_Kg,D009_Preco_1,D001_Peso_Unitario_Bruto,D001_Quantidade_Tributavel,D009_Preco_4
,,789,2654,1349,,,000789,S,N,D,D,,,,_,,,GERAL,GERAL,LUVAS,LUVAS,DANNY,0,61161000-I,13102,PR,184.00,184.00,0.00,-24.00,0.00000,7.45000,,CP,GERAL,,,COMPRADO,0.0000,,0,2025-07-01 00:00:00,MA,1,1,11,22,0,,,N,N,0.000,N,2722,,832,,0.000000,,4640-0,LUVA NITRILICA LIGHTFLEX DA26602 - DANNY - M,17,1,206.00,0.00000,,0000-00-00,2025-01-13,00,,,0.00,0.000,11.1750000000,0.000,0.000,12.6650000000
,,823,2658,1353,,,000823,S,N,D,D,,,,_,,,GERAL,GERAL,LUVAS,GERAL,SUPER SAFETY,0,40151900-I,13106,PR,0.00,0.00,0.00,0.00,0.00000,0.00000,,CP,GERAL,,,COMPRADO,0.0000,,0,0000-00-00 00:00:00,U,1,1,11,35,0,,,N,N,0.000,N,2675,,1381,,0.000000,,1846,LUVA NITRILICA SUPER NITRO GREEN CA: 33.334 - SUPER SAFETY GG,55,1,0.00,0.00000,,0000-00-00,0000-00-00,00,,,0.00,0.000,0.0000000000,0.000,0.000,0.0000000000
,,826,2659,1354,,,000826,S,N,D,D,,,,_,,,GERAL,GERAL,LUVAS,PU,DANNY,0,62160000-I,13138,PR,57.00,57.00,0.00,-81.00,0.00000,2.14920,,CP,GERAL,,,COMPRADO,0.0000,,0,2025-08-14 00:00:00,MA,1,1,11,26,0,,,N,N,0.000,N,2660,,504,,0.000000,,1794-0,LUVA PU DA12100PT CA:29014 - DANNY - PP,17,1,650.00,0.00000,,0000-00-00,2026-04-13,00,,,0.00,0.000,3.2238000000,0.000,0.000,3.6536400000
,,1295,2682,1377,,,001290,S,N,D,D,,,,_,,,GERAL,GERAL,CAPACETE,GERAL,MSA,0,65069900-I,13201,PC,-25.00,-25.00,0.00,25.00,0.00000,29.29000,,CP,GERAL,,,COMPRADO,0.0000,,0,2025-10-09 00:00:00,U,1,1,3,35,0,0,,N,N,0.000,N,2680,,150,,0.000000,,3598-6,CAPACETE CASCO TIPO BONE AMARELO CA:498 - MSA,73,3,24.00,0.00000,,2025-10-09,2026-04-13,00,,,0.00,0.000,43.9350000000,0.000,0.000,49.7930000000
,,1760,3783,1886,,,001754,S,N,D,D,,,,_,,,GERAL,GERAL,LUVAS,GERAL,SANRO,,61161000-I,13102,PR,0.00,0.00,0.00,0.00,0.00000,0.00000,,CP,,,,COMPRADO,0.0000,,0,0000-00-00 00:00:00,U,1,1,11,35,0,0,,N,N,0.000,N,3809,,3970,,0.000000,,1797-60,LUVA NITRILICA LONGA 45CM NITRI 380 CA: 44.033 - SANRO P,49,1,528.00,0.00000,,0000-00-00,0000-00-00,00,,,0.00,0.000,0.0000000000,0.000,0.000,0.0000000000
,,734,1467,734,584,,000734,S,N,D,D,,,,_,,,GERAL,GERAL,LUVAS,COURO,JLM,0,42032900-I,13108,PR,85.00,85.00,0.00,-188.00,0.00000,13.05000,,CP,GERAL,SOPKO IND. E COMERCIO DE LUVAS LTDA,,COMPRADO,0.0000,,0,2026-01-16 00:00:00,MA,1,1,11,13,584,,,N,N,0.000,N,745,,2498,,0.000000,,451,LUVA MISTA CURTA CA: 35.326- AMM G,25,1,0.00,1300.00000,,2026-03-18,2026-05-07,00,-103.0000000,-103.0000000,0.00,0.000,19.5750000000,0.000,0.000,22.1850000000
,,566,1131,566,,,000566,S,N,D,D,,,,_,,,GERAL,GERAL,VESTIMENTAS,MACACAO,KAMICON,0,56031290-I,13120,PC,-50.00,-50.00,0.00,0.00,0.00000,17.00000,,CP,GERAL,,,COMPRADO,0.0000,,0,2025-08-11 00:00:00,MA,1,1,5,16,0,,,N,N,0.000,N,577,,1617,,0.000000,,1837-4,CONJUNTO P/ PINTURA AZUL CA: 51521/51522 - KAMICON - M,30,3,319.00,220.00000,,2026-04-22,2026-05-20,00,-50.0000000,-50.0000000,0.00,0.000,25.5000000000,0.000,0.000,28.9000000000
,,564,1127,564,,,000564,S,N,D,D,,,,_,,,GERAL,GERAL,VESTIMENTAS,MACACAO,KAMICON,0,56031290-I,13120,PC,126.00,106.00,0.00,-138.00,0.00000,17.30000,,CP,GERAL,,,COMPRADO,0.0000,,0,2026-03-10 00:00:00,U,1,1,5,16,0,,,N,N,0.000,N,575,,1609,,0.000000,,1837-1,CONJUNTO P/ PINTURA AZUL CA: 51521/51522 - KAMICON - G,30,3,143.00,1280.00000,,2026-03-10,2026-05-20,00,-32.0000000,-12.0000000,0.00,0.000,25.9500000000,0.000,0.000,29.4100000000
,,248,495,248,,,000248,S,N,D,D,,,,_,,,GERAL,GERAL,CALCADOS,BOTINA,BELLGA,3,64051010-I,13105,PR,8.00,8.00,0.00,-14.00,0.00000,67.30000,,CP,GERAL,,,COMPRADO,1.0000,,0,2025-08-14 00:00:00,MA,1,1,7,10,0,,,N,N,0.000,N,29,,3909,,0.000000,,1805-41,BOTINA ELASTICO BICO CPT TSA-CR CA:44628 - BELLGA - 41,10,1,270.00,80.00000,,2026-01-08,2026-04-13,00,-6.0000000,-6.0000000,0.00,0.000,100.9500000000,0.000,0.000,114.4100000000
,,37,73,37,,,000037,S,N,D,D,,,,_,,,GERAL,GERAL,VESTIMENTAS,PVC,MAICOL,0,62014000-I,13112,PC,-13.00,-13.00,0.00,8.00,0.00000,7.22000,,CP,GERAL,,,COMPRADO,0.0000,,0,0000-00-00 00:00:00,MA,1,1,5,7,0,,,N,N,0.000,N,122,,887,,0.000000,,137,"AVENTAL PVC PRETO 1,15 X 0,65 CA: 38032 - MAICOL",36,3,0.00,520.00000,,2025-11-10,2026-05-15,00,-5.0000000,-5.0000000,0.00,0.000,10.8300000000,0.000,0.000,12.2740000000
